,Gen,Avg Fitness,SD Fitness,Best Fitness
0,,-0.15160426008968605,0.7471424626718712,0.768609865470852
1,,0.11976121076233191,0.6680831746375424,0.768609865470852
2,,0.23940582959641254,0.6055553406432412,0.768609865470852
3,,0.3532511210762332,0.5174215630417242,0.768609865470852
4,,0.39761771300448395,0.47212758804017835,0.768609865470852
5,,0.4243206278026906,0.4554078120398758,0.768609865470852
6,,0.5382813901345288,0.2582488468694467,0.7697309417040359
7,,0.4891423766816143,0.4010756556220497,0.7697309417040359
8,,0.4708811659192822,0.44143442712446296,0.7753363228699551
9,,0.5407993273542602,0.3251899700928482,0.7961883408071749
10,,0.539733183856502,0.3630359233429594,0.7961883408071749
11,,0.4756681614349772,0.45756520546420826,0.7961883408071749
12,,0.5158497757847532,0.4240875902871442,0.8132286995515695
13,,0.524410313901345,0.4263952940955156,0.8132286995515695
14,,0.5207264573991032,0.4551491498149688,0.8132286995515695
15,,0.5524719730941705,0.40107869144525043,0.8132286995515695
16,,0.5666199551569502,0.4039744233026769,0.8132286995515695
17,,0.5706950672645739,0.40607858662623253,0.8132286995515695
18,,0.5582533632286993,0.45110657410450766,0.8228699551569507
19,,0.5422982062780269,0.4904811554330968,0.8228699551569507
20,,0.577658071748879,0.4547721030327463,0.8228699551569507
21,,0.49269506726457357,0.5577352021812653,0.8228699551569507
22,,0.5536468609865468,0.4818556148230691,0.8228699551569507
23,,0.5568643497757847,0.46872058826534585,0.8271300448430493
24,,0.5948553811659191,0.4292668273321257,0.829372197309417
25,,0.5127600896860984,0.5522282406545215,0.829372197309417
26,,0.5676300448430492,0.4860680663135428,0.831390134529148
27,,0.5689630044843048,0.5002359386408567,0.831390134529148
28,,0.5395392376681611,0.5353994431207147,0.8367713004484305
29,,0.5866547085201799,0.4915163549806833,0.8367713004484305
30,,0.5621692825112108,0.5416955734170598,0.8367713004484305
31,,0.6215369955156951,0.48260057768307096,0.8367713004484305
32,,0.5498082959641251,0.5888489383108387,0.8385650224215246
33,,0.6218038116591927,0.4980376892314283,0.8387892376681614
34,,0.59732399103139,0.5218938515068888,0.8394618834080717
35,,0.6306356502242153,0.48450280855145594,0.8394618834080717
36,,0.621760089686099,0.49837055710088146,0.8394618834080717
37,,0.6410325112107625,0.4569517395358348,0.8394618834080717
38,,0.6464473094170404,0.47233600179013674,0.8396860986547086
39,,0.704724215246637,0.35502698786663534,0.8408071748878924
40,,0.7040213004484301,0.37371611146163575,0.8408071748878924
41,,0.7333778026905828,0.309651198748583,0.8408071748878924
42,,0.69232062780269,0.4115224652220737,0.8408071748878924
43,,0.7577600896860983,0.2548240721813304,0.8408071748878924
44,,0.7376760089686101,0.31008839996093635,0.8408071748878924
45,,0.7833295964125563,0.1364122349693877,0.8410313901345291
46,,0.7511995515695072,0.2851405252163112,0.8410313901345291
47,,0.7359786995515695,0.33598631881313024,0.8410313901345291
48,,0.6984260089686093,0.41329015463156316,0.8410313901345291
49,,0.7744686098654711,0.18796016055002354,0.8410313901345291
